GeneName	GWAS	SNPs	Intergenic	Context
AC007092.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823;30804565	rs10175975	0	intron_variant
AC007092.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs11691214	0	intron_variant
AC007100.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs359237	1	intergenic_variant
AC007100.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs359248	1	intergenic_variant
AC007333.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs1344490	1	intergenic_variant
AC007381.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs359237	1	intergenic_variant
AC007381.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs359248	1	intergenic_variant
AC007383.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823;30804565	rs184033703	1	intergenic_variant
AC007495.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs1110698	0	intron_variant
AC007495.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs6499821	0	intron_variant
AC007529.2	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs1174510	1	regulatory_region_variant
AC007529.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs12298405	1	intergenic_variant
AC007529.2	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs1601409	1	intergenic_variant
AC007861.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs35888008	0	non_coding_transcript_exon_variant
AC007861.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4785296	1	intergenic_variant
AC008537.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs56113850	0	intron_variant
AC008571.2	gwas_catalog:EFO_0004354_|_PubMedID:30120083	rs142704867	1	intergenic_variant
AC008571.2	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs4958316	0	intron_variant
AC008571.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4958318	0	intron_variant
AC008571.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs723427	1	intergenic_variant
AC008571.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs72799142	0	intron_variant
AC008662.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs2901796	1	intergenic_variant
AC008696.2	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs1582888	1	intergenic_variant
AC008725.1	gwas_catalog:EFO_0008328_|_PubMedID:32579418	rs79036472	1	intergenic_variant
AC008752.3	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs10421649	1	intergenic_variant
AC008752.3	gwas_catalog:EFO_0005271_|_PubMedID:30531941	rs34786000	1	intergenic_variant
AC008852.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs549961083	1	regulatory_region_variant
AC008938.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs7196720	1	intergenic_variant
AC008938.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs7203707	1	intergenic_variant
AC009075.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs11643192	1	regulatory_region_variant
AC009075.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823;30804565	rs17604349	1	intergenic_variant
AC009075.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs35746112	1	intergenic_variant
AC009081.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs17822102	1	regulatory_region_variant
AC009081.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823;30804565	rs8044054	1	intergenic_variant
AC009081.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823	rs8063159	1	intergenic_variant
AC009097.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823;30804565	rs11641811	1	intergenic_variant
AC009271.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs12959908	0	intron_variant
AC009271.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs9962650	0	intron_variant
AC009313.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs747003	1	intergenic_variant
AC009313.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs7579662	1	intergenic_variant
AC009313.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs747003	1	intergenic_variant
AC009313.2	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs7579662	1	intergenic_variant
AC009315.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs1593205	1	intergenic_variant
AC009315.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4666682	1	intergenic_variant
AC009413.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs6725031	1	intergenic_variant
AC009413.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs7602499	1	intergenic_variant
AC009522.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs2553100	0	intron_variant
AC009522.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs7488974	0	intron_variant
AC009522.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823	rs7959983	0	intron_variant
AC009654.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs147577476	1	intergenic_variant
AC009971.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs10173945	0	intron_variant
AC009971.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823;30804565	rs10495976	1	intergenic_variant
AC009971.1	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs2350702	1	intergenic_variant
AC009971.1	gwas_catalog:EFO_0008328_|_PubMedID:32579418	rs4971864	1	intergenic_variant
AC009971.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs72831198	1	intergenic_variant
AC009975.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs972557	0	intron_variant
AC009975.2	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823;30804565	rs10495976	1	intergenic_variant
AC009975.2	gwas_catalog:EFO_0008328_|_PubMedID:32579418	rs4971864	1	intergenic_variant
AC010424.3	gwas_catalog:EFO_0008328_|_PubMedID:32579418	rs10075092	1	intergenic_variant
AC010451.3	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs26877	1	intergenic_variant
AC010746.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs787988	1	regulatory_region_variant
AC010967.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs73933942	1	intergenic_variant
AC011029.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823	rs16939162	1	intergenic_variant
AC011029.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs6472936	1	intergenic_variant
AC011029.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs72663537	1	intergenic_variant
AC011195.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs412000	0	non_coding_transcript_exon_variant
AC011447.3	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs836901	0	intron_variant
AC011586.2	gwas_catalog:EFO_0007875_|_PubMedID:28604731	rs553962214	0	intron_variant
AC011990.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs10491171	1	intergenic_variant
AC011997.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs12472359	0	intron_variant
AC011997.1	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs700641	0	intron_variant
AC012485.1	gwas_catalog:EFO_0004354;EFO_0008328_|_PubMedID:26955885;30804565	rs35333999	0	missense_variant
AC012485.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs57690685	0	non_coding_transcript_exon_variant
AC012485.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs80261926	0	3_prime_UTR_variant
AC012485.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823	rs960783	0	intron_variant
AC012494.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs10190053	0	intron_variant
AC012494.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4254526	0	intron_variant
AC015923.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs72841368	0	intron_variant
AC015936.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs3760381	1	regulatory_region_variant
AC016598.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs17401208	0	intron_variant
AC016598.2	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs1582888	1	intergenic_variant
AC016745.1	gwas_catalog:EFO_0005271_|_PubMedID:25469926	rs1823125	0	intron_variant
AC016745.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs2863957	0	intron_variant
AC016745.1	gwas_catalog:EFO_0005271_|_PubMedID:30531941	rs62158170	1	intergenic_variant
AC016745.1	gwas_catalog:EFO_0005271_|_PubMedID:30804565	rs62158206	0	intron_variant
AC016745.1	gwas_catalog:EFO_0005271;EFO_0004354;EFO_0007875;EFO_0007876_|_PubMedID:27494321;27992416;28604731;30531941	rs62158211	0	intron_variant
AC016745.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs6737318	0	non_coding_transcript_exon_variant
AC016745.1	gwas_catalog:EFO_0005271_|_PubMedID:30531941;30846698	rs7556815	0	intron_variant
AC016956.1	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs2389217	1	intergenic_variant
AC016956.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs7314943	1	intergenic_variant
AC016999.2	gwas_catalog:EFO_0004354_|_PubMedID:28604731	rs55986470	0	non_coding_transcript_exon_variant
AC016999.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs72993073	1	regulatory_region_variant
AC017013.1	gwas_catalog:EFO_0004354_|_PubMedID:30120083	rs190135744	1	intergenic_variant
AC018448.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs117554039	1	intergenic_variant
AC018448.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs7315607	1	intergenic_variant
AC018448.2	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs117554039	1	intergenic_variant
AC018448.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs1400283	1	intergenic_variant
AC018521.4	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs35653190	1	intergenic_variant
AC018616.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs71519017	1	intergenic_variant
AC018680.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823;30804565	rs4241964	0	intron_variant
AC018767.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs12445235	1	intergenic_variant
AC018781.1	gwas_catalog:EFO_0008328_|_PubMedID:32579418	rs7814838	1	intergenic_variant
AC018802.2	gwas_catalog:EFO_0004354_|_PubMedID:30120083	rs10194961	1	intergenic_variant
AC018814.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs11718454	1	intergenic_variant
AC019129.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs62135536	1	regulatory_region_variant
AC019129.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823	rs75120545	1	TF_binding_site_variant
AC019176.2	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs12547604	1	intergenic_variant
AC020558.6	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs2232831	1	TF_binding_site_variant
AC020558.6	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30804565	rs3760185	1	intergenic_variant
AC020604.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs6544906	1	intergenic_variant
AC021055.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4484214	1	intergenic_variant
AC021055.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs6443810	1	intergenic_variant
AC021134.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs1458146	0	intron_variant
AC021134.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs9997394	0	intron_variant
AC021506.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs2926621	1	intergenic_variant
AC021506.2	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs2926621	1	intergenic_variant
AC022031.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4800998	0	intron_variant
AC022239.2	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs4295623	1	intergenic_variant
AC022414.1	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs62362510	0	intron_variant
AC022414.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs7721608	0	intron_variant
AC022695.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs17748165	1	intergenic_variant
AC022695.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs7006885	1	intergenic_variant
AC022695.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs72673588	1	intergenic_variant
AC022784.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs330088	0	intron_variant
AC022903.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs7218593	1	intergenic_variant
AC023050.2	gwas_catalog:EFO_0005271_|_PubMedID:25469926	rs2128614	1	regulatory_region_variant
AC023050.3	gwas_catalog:EFO_0005271_|_PubMedID:25469926	rs2128614	1	regulatory_region_variant
AC023232.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs7939345	1	intergenic_variant
AC023503.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs12631477	1	intergenic_variant
AC023512.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs1174510	1	regulatory_region_variant
AC023512.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs12298405	1	intergenic_variant
AC023512.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs1601409	1	intergenic_variant
AC024153.1	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs12310956	1	intergenic_variant
AC024153.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs1405024	1	intergenic_variant
AC024153.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs1906136	1	intergenic_variant
AC024153.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4394914	1	intergenic_variant
AC024153.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823;30804565	rs13377754	1	regulatory_region_variant
AC024598.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs12249410	0	intron_variant
AC025175.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs702612	1	regulatory_region_variant
AC025475.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs4992300	1	intergenic_variant
AC026202.1	gwas_catalog:EFO_0007875_|_PubMedID:27992416	rs920065	1	intergenic_variant
AC026403.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs72834074	1	intergenic_variant
AC026415.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs26877	1	intergenic_variant
AC026462.4	gwas_catalog:EFO_0004354;EFO_0008328_|_PubMedID:26835600;30595370;30696823;30804565	rs12927162	0	intron_variant
AC026462.4	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs4784256	1	intergenic_variant
AC034114.2	gwas_catalog:EFO_0005271_|_PubMedID:23728906	rs11987678	0	intron_variant
AC037433.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs147577476	1	intergenic_variant
AC040168.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs1110698	0	intron_variant
AC040168.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs1949072	1	regulatory_region_variant
AC040168.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs6499821	0	intron_variant
AC040168.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs8050478	0	intron_variant
AC040963.1	gwas_catalog:EFO_0004354_|_PubMedID:27494321	rs9961653	1	intergenic_variant
AC044798.3	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs1420607	0	intron_variant
AC046130.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs1705773	1	regulatory_region_variant
AC046130.1	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs61931739	1	intergenic_variant
AC046130.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs1705773	1	regulatory_region_variant
AC046130.3	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs11833948	1	regulatory_region_variant
AC046130.3	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs7297799	1	intergenic_variant
AC062029.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs1606803	1	regulatory_region_variant
AC064807.2	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs60882754	0	intron_variant
AC066614.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823;30804565	rs12442008	0	intron_variant
AC067752.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs12249410	0	intron_variant
AC068057.4	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs75863239	0	intron_variant
AC068205.2	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs4592416	0	intron_variant
AC068205.2	gwas_catalog:EFO_0005271_|_PubMedID:30804565	rs7115856	0	intron_variant
AC068633.1	gwas_catalog:EFO_0005271_|_PubMedID:30804565	rs4688116	0	intron_variant
AC068688.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823;30804565	rs12969848	1	intergenic_variant
AC068688.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4527088	1	intergenic_variant
AC068688.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs989885	1	intergenic_variant
AC069157.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs10193431	1	intergenic_variant
AC069157.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4672458	1	intergenic_variant
AC069157.2	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs73933942	1	intergenic_variant
AC069288.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs11763750	0	intron_variant
AC069288.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs34731055	0	intron_variant
AC069288.1	gwas_catalog:EFO_0005271_|_PubMedID:30804565	rs3823624	0	intron_variant
AC069545.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs10825741	1	intergenic_variant
AC073082.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs6751138	0	intron_variant
AC073114.1	gwas_catalog:EFO_0004354_|_PubMedID:30120083	rs115595252	0	intron_variant
AC073114.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs211800	0	intron_variant
AC073176.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs10999667	1	intergenic_variant
AC073176.2	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs7910164	1	regulatory_region_variant
AC073429.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823;30804565	rs4241964	0	intron_variant
AC073875.1	gwas_catalog:EFO_0005271_|_PubMedID:27494321;27992416;28604731;30846698	rs1380703	1	intergenic_variant
AC078778.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823;30804565	rs7299922	0	intron_variant
AC079052.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823;30804565	rs12969848	1	intergenic_variant
AC079052.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4527088	1	intergenic_variant
AC079052.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs989885	1	intergenic_variant
AC079384.2	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs74643199	1	regulatory_region_variant
AC079385.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823	rs7304278	0	intron_variant
AC079411.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs59779556	0	non_coding_transcript_exon_variant
AC079460.1	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs1969363	1	intergenic_variant
AC079793.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823	rs28380327	0	intron_variant
AC079793.1	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs35125029	0	intron_variant
AC079793.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs62172117	0	intron_variant
AC079943.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs111867612	0	intron_variant
AC084048.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs13116306	1	intergenic_variant
AC084211.1	gwas_catalog:EFO_0008328_|_PubMedID:32579418	rs17826722	1	intergenic_variant
AC084211.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs1906508	1	intergenic_variant
AC084211.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4859215	1	intergenic_variant
AC084211.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs6443788	1	regulatory_region_variant
AC084211.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs9836621	1	intergenic_variant
AC084373.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs12828063	1	intergenic_variant
AC084816.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs2433634	0	intron_variant
AC084816.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs2467109	0	intron_variant
AC084878.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs7970129	1	intergenic_variant
AC087269.3	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs11992186	0	intron_variant
AC087354.1	gwas_catalog:EFO_0008328_|_PubMedID:32579418	rs6990182	1	intergenic_variant
AC087477.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs12442674	0	intron_variant
AC087477.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs12594634	0	intron_variant
AC087521.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs7111582	0	intron_variant
AC087855.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4739403	1	intergenic_variant
AC087857.1	gwas_catalog:EFO_0007875_|_PubMedID:27992416	rs920065	1	intergenic_variant
AC087897.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs12427164	1	intergenic_variant
AC087897.1	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs12822662	1	regulatory_region_variant
AC087897.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs1843888	1	intergenic_variant
AC087897.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs34354917	1	regulatory_region_variant
AC087897.1	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs6582618	1	intergenic_variant
AC087897.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30804565	rs7313852	1	intergenic_variant
AC087897.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs35817541	0	intron_variant
AC087897.2	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs9325144	1	intergenic_variant
AC090125.1	gwas_catalog:EFO_0005271_|_PubMedID:23728906	rs2278331	1	intergenic_variant
AC090312.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs185549704	1	intergenic_variant
AC090312.2	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs185549704	1	intergenic_variant
AC090578.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs34578339	0	intron_variant
AC090809.1	gwas_catalog:EFO_0004354_|_PubMedID:27494321	rs192534763	1	intergenic_variant
AC090844.3	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs7222039	1	intergenic_variant
AC090987.1	gwas_catalog:EFO_0004354_|_PubMedID:26955885	rs17311976	0	intron_variant
AC090993.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs1996866	1	intergenic_variant
AC090993.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs2590466	1	intergenic_variant
AC091804.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs34967119	1	intergenic_variant
AC091819.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823;30804565	rs42210	1	intergenic_variant
AC091832.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs460692	1	intergenic_variant
AC091951.2	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs12518468	1	intergenic_variant
AC091951.5	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs12518468	1	intergenic_variant
AC092353.2	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs542867945	1	intergenic_variant
AC092422.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823	rs13059636	0	intron_variant
AC092422.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs2362775	0	intron_variant
AC092650.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs17396357	0	intron_variant
AC092805.1	gwas_catalog:EFO_0004354;EFO_0008328_|_PubMedID:27494321;30595370;30696823;30804565	rs72720396	1	intergenic_variant
AC092825.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs12631477	1	intergenic_variant
AC093425.1	gwas_catalog:EFO_0007875_|_PubMedID:27992416	rs371398972	0	intron_variant
AC093433.2	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs10493596	1	intergenic_variant
AC093433.2	gwas_catalog:EFO_0004354;EFO_0008328_|_PubMedID:27494321;30804565	rs11162296	1	intergenic_variant
