RSID	Beta	P-Value	P-Value(log10)	Cumulative_Fraction
rs150270129	0.0580462	0.0134	-1.8728952016351923	0.4774774774774775
rs72729699	0.0103214	0.0135	-1.869666231504994	0.48214285714285715
rs188700970	-0.0504074	0.014	-1.853871964321762	0.4778761061946903
rs80255661	-0.0550624	0.014	-1.853871964321762	0.47368421052631576
rs112112537	-0.0123794	0.0144	-1.8416375079047504	0.46956521739130436
rs75599275	-0.00835305	0.0146	-1.8356471442155629	0.46551724137931033
rs76863482	-0.0247417	0.0147	-1.832682665251824	0.46153846153846156
rs76963247	0.0272025	0.0154	-1.812479279163537	0.4661016949152542
rs1293761	0.00598644	0.0154	-1.812479279163537	0.47058823529411764
rs117072987	0.0213365	0.0155	-1.8096683018297086	0.475
rs61737389	0.049664	0.0156	-1.8068754016455384	0.4793388429752066
rs7577713	0.0061215	0.0159	-1.7986028756795485	0.48360655737704916
rs74557620	0.0459351	0.016	-1.7958800173440752	0.4878048780487805
rs143906295	0.027099	0.0161	-1.7931741239681502	0.49193548387096775
rs56345151	-0.0513684	0.0161	-1.7931741239681502	0.488
rs12938635	0.00863294	0.0163	-1.7878123955960423	0.49206349206349204
rs2304676	0.0126947	0.0164	-1.785156151952302	0.49606299212598426
rs2440591	-0.00976384	0.0173	-1.7619538968712045	0.4921875
rs137954703	-0.0335351	0.0174	-1.7594507517174003	0.4883720930232558
rs112170517	-0.0173071	0.0175	-1.7569619513137056	0.4846153846153846
rs117232954	-0.00982643	0.0177	-1.7520267336381934	0.48091603053435117
rs13104590	0.00840574	0.0179	-1.747146969020107	0.48484848484848486
rs74960082	-0.0273506	0.0186	-1.7304870557820837	0.48120300751879697
rs191627572	0.0642452	0.0186	-1.7304870557820837	0.48507462686567165
rs576660504	0.06575510000000001	0.0186	-1.7304870557820837	0.4888888888888889
rs12444926	0.0112694	0.019	-1.7212463990471711	0.49264705882352944
rs12723424	0.0128643	0.0192	-1.7166987712964503	0.49635036496350365
rs74712797	0.0691122	0.0193	-1.7144426909922261	0.5
rs1806216	0.012876	0.0195	-1.709965388637482	0.5035971223021583
rs540482620	-0.0602026	0.0195	-1.709965388637482	0.5
rs78197995	-0.00785333	0.0198	-1.7033348097384688	0.49645390070921985
rs111535498	-0.00914634	0.0199	-1.7011469235902934	0.49295774647887325
rs11626073	0.00731051	0.0199	-1.7011469235902934	0.4965034965034965
rs72851831	-0.00807377	0.02	-1.6989700043360187	0.4930555555555556
rs74659599	0.026172700000000004	0.0202	-1.6946486305533763	0.496551724137931
rs79035005	-0.00918256	0.0204	-1.6903698325741012	0.4931506849315068
rs342211	0.0103863	0.0206	-1.6861327796308465	0.4965986394557823
rs34900642	0.0159151	0.0218	-1.6615435063953952	0.5
rs6540831	0.00939981	0.0219	-1.6595558851598817	0.5033557046979866
rs145620270	-0.0156629	0.0224	-1.6497519816658373	0.5
rs79858757	-0.0245571	0.0224	-1.6497519816658373	0.4966887417218543
rs76397284	0.0234678	0.0225	-1.6478174818886375	0.5
rs148440066	0.00906042	0.0229	-1.640164517660112	0.5032679738562091
rs56159785	0.0177738	0.0231	-1.6363880201078558	0.5064935064935064
rs75355939	-0.0125473	0.0232	-1.6345120151091004	0.5032258064516129
rs1730944	0.00810666	0.0239	-1.6216020990518623	0.5064102564102564
rs75991178	-0.0314856	0.0244	-1.6126101736612706	0.5031847133757962
rs112796792	0.00816982	0.0244	-1.6126101736612706	0.5063291139240507
rs72776624	0.015634600000000002	0.0245	-1.6108339156354674	0.5094339622641509
rs78742299	-0.012482	0.0247	-1.6073030467403342	0.50625
rs10305516	-0.00899561	0.0248	-1.6055483191737838	0.5031055900621118
rs369392063	-0.0669793	0.025	-1.6020599913279623	0.5
rs187991965	0.0150278	0.0257	-1.5900668766687054	0.5030674846625767
rs74963128	0.00929177	0.0264	-1.578396073130169	0.5060975609756098
rs560092957	-0.052542	0.0275	-1.5606673061697374	0.503030303030303
rs16971371	-0.00634899	0.0276	-1.5590909179347823	0.5
rs17035271	0.016189600000000002	0.0278	-1.5559552040819238	0.5029940119760479
rs114497543	-0.0173915	0.0283	-1.5482135644757098	0.5
rs60946517	-0.070336	0.0284	-1.5466816599529623	0.4970414201183432
rs144135035	0.023165	0.0285	-1.5451551399914898	0.5
rs2423895	-0.017349299999999998	0.0286	-1.5436339668709569	0.49707602339181284
rs141572249	0.0281974	0.0297	-1.5272435506827877	0.5
rs117809388	0.0158608	0.0305	-1.5157001606532141	0.5028901734104047
rs4788482	-0.00807444	0.0305	-1.5157001606532141	0.5
rs12546960	0.0088598	0.0306	-1.51427857351842	0.5028571428571429
rs4746958	-0.012465100000000002	0.0313	-1.5044556624535514	0.5
rs117170752	0.012592399999999998	0.0313	-1.5044556624535514	0.5028248587570622
rs11016430	-0.0251199	0.0318	-1.4975728800155674	0.5
rs61832509	0.0110287	0.0323	-1.490797477668897	0.5027932960893855
rs11684470	0.00551237	0.034	-1.4685210829577449	0.5055555555555555
rs10998225	-0.00890212	0.0341	-1.4672456210075022	0.5027624309392266
rs77871774	-0.012271	0.0346	-1.4609239012072235	0.5
rs79573710	0.00894195	0.0352	-1.453457336521869	0.5027322404371585
rs148946361	-0.0298589	0.0355	-1.449771646944906	0.5
rs189363526	-0.024443400000000004	0.0365	-1.4377071355435254	0.4972972972972973
rs73060483	0.017730000000000003	0.0365	-1.4377071355435254	0.5
rs76891833	0.00714276	0.0369	-1.4329736338409396	0.5026737967914439
rs12819160	0.00617763	0.0369	-1.4329736338409396	0.5053191489361702
rs3013442	0.00603519	0.0374	-1.4271283977995197	0.5079365079365079
rs16931437	-0.00722995	0.0398	-1.4001169279263121	0.5052631578947369
rs117810271	0.0645979	0.0401	-1.3968556273798178	0.5078534031413613
rs139267859	0.0101621	0.0404	-1.393618634889395	0.5104166666666666
rs79246363	0.011793799999999998	0.0404	-1.393618634889395	0.5129533678756477
rs12624676	0.0114382	0.0408	-1.38933983691012	0.5154639175257731
rs141957261	-0.0139515	0.0408	-1.38933983691012	0.5128205128205128
rs4613225	-0.00736483	0.0412	-1.3851027839668655	0.5102040816326531
rs74675949	-0.0102686	0.0417	-1.3798639450262424	0.5076142131979695
rs62466344	-0.013897799999999998	0.042	-1.3767507096020994	0.5050505050505051
rs34860998	0.0192887	0.0423	-1.3736596326249577	0.507537688442211
rs2423867	-0.00634089	0.0424	-1.3726341434072673	0.505
rs118005485	0.0223911	0.0425	-1.3716110699496884	0.5074626865671642
rs188358385	-0.025763	0.0426	-1.3705904008972811	0.504950495049505
rs550549344	-0.0789643	0.0433	-1.3635121036466347	0.5024630541871922
rs1527550	-0.00800875	0.0437	-1.359518563029578	0.5
rs72629024	0.00674537	0.0437	-1.359518563029578	0.5024390243902439
rs36123119	0.0118299	0.0439	-1.3575354797578787	0.5048543689320388
rs77728656	0.0357359	0.0442	-1.3545777306509081	0.5072463768115942
rs71495069	-0.0112487	0.0446	-1.350665141287858	0.5048076923076923
rs28365986	-0.0713566	0.0448	-1.348721986001856	0.5023923444976076
rs35572898	0.00833203	0.0456	-1.341035157335565	0.5047619047619047
rs72709237	-0.0183968	0.0458	-1.3391345219961308	0.5023696682464455
rs117955407	0.0239386	0.0459	-1.3381873144627388	0.5047169811320755
rs61898278	0.0105477	0.0465	-1.332547047110046	0.5070422535211268
rs12512781	0.0219653	0.0466	-1.3316140833099999	0.5093457943925234
rs61788408	-0.00733151	0.0468	-1.329754146925876	0.5069767441860465
rs183250508	-0.0614635	0.0468	-1.329754146925876	0.5046296296296297
rs62143391	0.00686019	0.0478	-1.320572103387881	0.5069124423963134
rs72933584	0.00849842	0.0483	-1.3160528692484879	0.5091743119266054
rs41421446	-0.0254806	0.0486	-1.3133637307377066	0.5068493150684932
rs11066638	0.00739375	0.0488	-1.3115801779972893	0.509090909090909
rs10823777	-0.00527736	0.0488	-1.3115801779972893	0.5067873303167421
rs17654543	-0.0139995	0.0493	-1.30715308072277	0.5045045045045045
rs10485548	-0.0104065	0.0496	-1.3045183235098026	0.5022421524663677
rs74939503	0.00875144	0.0498	-1.3027706572402824	0.5044642857142857
